,cells,total_score,chrom,start,end,strand,splice_motif,donor_seq,acceptor_seq,label_5_prime,label_3_prime,position_off_5_prime,position_off_3_prime,perfect_match_5_prime,perfect_match_3_prime,both_ends_transcripts,only_5_prime_transcripts,only_3_prime_transcripts,transcript_types,gene_ids,gene_names,transcripts_junc_5,transcripts_junc_3,gene_types
chr11_98028468_98029394_+,42,8129,chr11,98028468,98029394,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000092425.10', 'ENSMUST00000017548.6']","['ENSMUST00000092425.10', 'ENSMUST00000017548.6']","['ENSMUST00000017548.6', 'ENSMUST00000092425.10']",[],['ENSMUST00000184365.1'],"['miRNA', 'protein_coding']","['ENSMUSG00000098992.1', 'ENSMUSG00000017404.12']","['Gm27597', 'Rpl19']","['ENSMUST00000017548.6', 'ENSMUST00000092425.10']","['ENSMUST00000017548.6', 'ENSMUST00000184365.1', 'ENSMUST00000092425.10']","['miRNA', 'protein_coding']"
chr11_98029515_98029774_+,42,8874,chr11,98029515,98029774,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000092425.10', 'ENSMUST00000017548.6']","['ENSMUST00000092425.10', 'ENSMUST00000017548.6']","['ENSMUST00000017548.6', 'ENSMUST00000092425.10']",['ENSMUST00000184365.1'],[],"['miRNA', 'protein_coding']","['ENSMUSG00000098992.1', 'ENSMUSG00000017404.12']","['Gm27597', 'Rpl19']","['ENSMUST00000017548.6', 'ENSMUST00000184365.1', 'ENSMUST00000092425.10']","['ENSMUST00000017548.6', 'ENSMUST00000092425.10']","['miRNA', 'protein_coding']"
chr11_106782693_106783958_-,17,781,chr11,106782693,106783958,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,['ENSMUST00000021062.11'],"['ENSMUST00000021062.11', 'ENSMUST00000130172.1']",['ENSMUST00000021062.11'],[],"['ENSMUST00000130172.1', 'ENSMUST00000175532.2', 'ENSMUST00000127481.7']","['miRNA', 'nonsense_mediated_decay', 'processed_transcript', 'protein_coding']","['ENSMUSG00000093273.2', 'ENSMUSG00000020719.14']","['Mir3064', 'Ddx5']",['ENSMUST00000021062.11'],"['ENSMUST00000130172.1', 'ENSMUST00000175532.2', 'ENSMUST00000127481.7', 'ENSMUST00000021062.11']","['miRNA', 'protein_coding']"
chr11_120347349_120347635_-,41,18231,chr11,120347349,120347635,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000071555.12', 'ENSMUST00000106215.10', 'ENSMUST00000131103.8', 'ENSMUST00000128055.1', 'ENSMUST00000141406.7']","['ENSMUST00000071555.12', 'ENSMUST00000106215.10', 'ENSMUST00000131103.8', 'ENSMUST00000128055.1']","['ENSMUST00000131103.8', 'ENSMUST00000128055.1', 'ENSMUST00000071555.12', 'ENSMUST00000106215.10']","['ENSMUST00000144868.1', 'ENSMUST00000141406.7']",['ENSMUST00000183615.1'],"['nonsense_mediated_decay', 'miRNA', 'protein_coding', 'retained_intron']","['ENSMUSG00000098955.1', 'ENSMUSG00000062825.15']","['Mir6935', 'Actg1']","['ENSMUST00000071555.12', 'ENSMUST00000131103.8', 'ENSMUST00000128055.1', 'ENSMUST00000141406.7', 'ENSMUST00000144868.1', 'ENSMUST00000106215.10']","['ENSMUST00000071555.12', 'ENSMUST00000131103.8', 'ENSMUST00000128055.1', 'ENSMUST00000106215.10', 'ENSMUST00000183615.1']","['miRNA', 'protein_coding']"
chr12_87266921_87268154_+,19,983,chr12,87266921,87268154,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,['ENSMUST00000021425.7'],"['ENSMUST00000223352.1', 'ENSMUST00000021425.7']",['ENSMUST00000021425.7'],['ENSMUST00000198146.1'],"['ENSMUST00000223002.1', 'ENSMUST00000223352.1']","['miRNA', 'protein_coding', 'retained_intron']","['ENSMUSG00000021037.7', 'ENSMUSG00000106561.1']","['Ahsa1', 'Gm47293']","['ENSMUST00000021425.7', 'ENSMUST00000198146.1']","['ENSMUST00000021425.7', 'ENSMUST00000223002.1', 'ENSMUST00000223352.1']","['miRNA', 'protein_coding']"
chr13_59762795_59769623_-,12,325,chr13,59762795,59769623,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000057115.6', 'ENSMUST00000225850.1', 'ENSMUST00000160628.1']","['ENSMUST00000057115.6', 'ENSMUST00000225850.1', 'ENSMUST00000225877.1', 'ENSMUST00000225581.1', 'ENSMUST00000160628.1']","['ENSMUST00000225850.1', 'ENSMUST00000057115.6', 'ENSMUST00000160628.1']",[],"['ENSMUST00000225877.1', 'ENSMUST00000225581.1']","['nonsense_mediated_decay', 'processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000114763.1', 'ENSMUSG00000044792.7']","['Gm49354', 'Isca1']","['ENSMUST00000225850.1', 'ENSMUST00000057115.6', 'ENSMUST00000160628.1']","['ENSMUST00000225877.1', 'ENSMUST00000225581.1', 'ENSMUST00000225850.1', 'ENSMUST00000057115.6', 'ENSMUST00000160628.1']",['protein_coding']
chr15_58936460_58937351_+,35,3289,chr15,58936460,58937351,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000228787.1', 'ENSMUST00000022980.4']","['ENSMUST00000228787.1', 'ENSMUST00000022980.4']","['ENSMUST00000228787.1', 'ENSMUST00000022980.4']",[],[],"['nonsense_mediated_decay', 'protein_coding']","['ENSMUSG00000115463.1', 'ENSMUSG00000022354.4']","['Gm49356', 'Ndufb9']","['ENSMUST00000228787.1', 'ENSMUST00000022980.4']","['ENSMUST00000228787.1', 'ENSMUST00000022980.4']",['protein_coding']
chr15_76625205_76625988_-,22,1560,chr15,76625205,76625988,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000229545.1', 'ENSMUST00000229052.1', 'ENSMUST00000229261.1', 'ENSMUST00000229019.1', 'ENSMUST00000078803.4']","['ENSMUST00000229545.1', 'ENSMUST00000229052.1', 'ENSMUST00000229261.1', 'ENSMUST00000229019.1', 'ENSMUST00000078803.4']","['ENSMUST00000078803.4', 'ENSMUST00000229261.1', 'ENSMUST00000229019.1', 'ENSMUST00000229052.1', 'ENSMUST00000229545.1']",['ENSMUST00000165163.7'],[],"['protein_coding', 'retained_intron']","['ENSMUSG00000059323.14', 'ENSMUSG00000115987.1']","['Tonsl', 'Vps28']","['ENSMUST00000078803.4', 'ENSMUST00000165163.7', 'ENSMUST00000229261.1', 'ENSMUST00000229019.1', 'ENSMUST00000229052.1', 'ENSMUST00000229545.1']","['ENSMUST00000078803.4', 'ENSMUST00000229261.1', 'ENSMUST00000229019.1', 'ENSMUST00000229052.1', 'ENSMUST00000229545.1']",['protein_coding']
chr15_79035403_79035776_+,7,265,chr15,79035403,79035776,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000006544.8', 'ENSMUST00000171999.8', 'ENSMUST00000229276.1']","['ENSMUST00000006544.8', 'ENSMUST00000171999.8', 'ENSMUST00000229276.1']","['ENSMUST00000006544.8', 'ENSMUST00000171999.8', 'ENSMUST00000229276.1']",[],[],['protein_coding'],"['ENSMUSG00000006378.15', 'ENSMUSG00000116378.1']","['Gcat', 'Gcat']","['ENSMUST00000006544.8', 'ENSMUST00000171999.8', 'ENSMUST00000229276.1']","['ENSMUST00000006544.8', 'ENSMUST00000171999.8', 'ENSMUST00000229276.1']",['protein_coding']
chr15_98951336_98951468_-,39,4939,chr15,98951336,98951468,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000134214.2', 'ENSMUST00000097014.6']","['ENSMUST00000134214.2', 'ENSMUST00000097014.6']","['ENSMUST00000134214.2', 'ENSMUST00000097014.6']",[],[],['protein_coding'],"['ENSMUSG00000072235.6', 'ENSMUSG00000116358.1']","['Tuba1a', 'Gm49450']","['ENSMUST00000134214.2', 'ENSMUST00000097014.6']","['ENSMUST00000134214.2', 'ENSMUST00000097014.6']",['protein_coding']
chr16_18241873_18245200_-,30,2388,chr16,18241873,18245200,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000115645.9', 'ENSMUST00000052325.6']","['ENSMUST00000115645.9', 'ENSMUST00000052325.6']","['ENSMUST00000052325.6', 'ENSMUST00000115645.9']","['ENSMUST00000134035.1', 'ENSMUST00000232144.1']",[],"['nonsense_mediated_decay', 'processed_transcript', 'protein_coding']","['ENSMUSG00000116925.1', 'ENSMUSG00000005732.14']","['AC084822.2', 'Ranbp1']","['ENSMUST00000052325.6', 'ENSMUST00000115645.9', 'ENSMUST00000134035.1', 'ENSMUST00000232144.1']","['ENSMUST00000052325.6', 'ENSMUST00000115645.9']",['protein_coding']
chr16_18247425_18248547_-,27,1072,chr16,18247425,18248547,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000115645.9', 'ENSMUST00000123073.7']","['ENSMUST00000115645.9', 'ENSMUST00000052325.6', 'ENSMUST00000123073.7', 'ENSMUST00000134035.1', 'ENSMUST00000232144.1']","['ENSMUST00000115645.9', 'ENSMUST00000123073.7']",[],"['ENSMUST00000052325.6', 'ENSMUST00000134035.1', 'ENSMUST00000232144.1']","['nonsense_mediated_decay', 'processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000116925.1', 'ENSMUSG00000005732.14']","['AC084822.2', 'Ranbp1']","['ENSMUST00000115645.9', 'ENSMUST00000123073.7']","['ENSMUST00000123073.7', 'ENSMUST00000052325.6', 'ENSMUST00000134035.1', 'ENSMUST00000115645.9', 'ENSMUST00000232144.1']",['protein_coding']
chr16_38349329_38352625_+,24,645,chr16,38349329,38352625,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000050273.8', 'ENSMUST00000144812.1', 'ENSMUST00000119704.1', 'ENSMUST00000134709.1', 'ENSMUST00000156026.1']","['ENSMUST00000050273.8', 'ENSMUST00000152868.1', 'ENSMUST00000144812.1', 'ENSMUST00000156026.1']","['ENSMUST00000144812.1', 'ENSMUST00000156026.1', 'ENSMUST00000050273.8']","['ENSMUST00000134709.1', 'ENSMUST00000119704.1']",['ENSMUST00000152868.1'],"['processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000095464.1', 'ENSMUSG00000046516.10']","['Gm21987', 'Cox17']","['ENSMUST00000134709.1', 'ENSMUST00000050273.8', 'ENSMUST00000144812.1', 'ENSMUST00000156026.1', 'ENSMUST00000119704.1']","['ENSMUST00000144812.1', 'ENSMUST00000152868.1', 'ENSMUST00000156026.1', 'ENSMUST00000050273.8']",['protein_coding']
chr16_55966438_55966546_+,43,5168,chr16,55966438,55966546,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000023269.4', 'ENSMUST00000122365.1']","['ENSMUST00000023269.4', 'ENSMUST00000122365.1', 'ENSMUST00000126419.1']","['ENSMUST00000122365.1', 'ENSMUST00000023269.4']",[],['ENSMUST00000126419.1'],"['processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000098371.1', 'ENSMUSG00000098274.7']","['Gm28037', 'Rpl24']","['ENSMUST00000122365.1', 'ENSMUST00000023269.4']","['ENSMUST00000126419.1', 'ENSMUST00000122365.1', 'ENSMUST00000023269.4']","['processed_transcript', 'protein_coding']"
chr16_55966622_55967059_+,42,5052,chr16,55966622,55967059,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000023269.4', 'ENSMUST00000122365.1', 'ENSMUST00000137811.7', 'ENSMUST00000126419.1']","['ENSMUST00000023269.4', 'ENSMUST00000122365.1', 'ENSMUST00000137811.7', 'ENSMUST00000126419.1']","['ENSMUST00000126419.1', 'ENSMUST00000137811.7', 'ENSMUST00000122365.1', 'ENSMUST00000023269.4']",[],[],"['processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000098371.1', 'ENSMUSG00000098274.7']","['Gm28037', 'Rpl24']","['ENSMUST00000126419.1', 'ENSMUST00000137811.7', 'ENSMUST00000122365.1', 'ENSMUST00000023269.4']","['ENSMUST00000126419.1', 'ENSMUST00000137811.7', 'ENSMUST00000122365.1', 'ENSMUST00000023269.4']","['processed_transcript', 'protein_coding']"
chr16_55967170_55969509_+,42,4147,chr16,55967170,55969509,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000023269.4', 'ENSMUST00000122365.1', 'ENSMUST00000137811.7', 'ENSMUST00000126419.1']","['ENSMUST00000023269.4', 'ENSMUST00000122365.1', 'ENSMUST00000137811.7', 'ENSMUST00000126419.1']","['ENSMUST00000126419.1', 'ENSMUST00000137811.7', 'ENSMUST00000122365.1', 'ENSMUST00000023269.4']",[],[],"['processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000098371.1', 'ENSMUSG00000098274.7']","['Gm28037', 'Rpl24']","['ENSMUST00000126419.1', 'ENSMUST00000137811.7', 'ENSMUST00000122365.1', 'ENSMUST00000023269.4']","['ENSMUST00000126419.1', 'ENSMUST00000137811.7', 'ENSMUST00000122365.1', 'ENSMUST00000023269.4']","['processed_transcript', 'protein_coding']"
chr16_55969646_55970111_+,42,3934,chr16,55969646,55970111,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000023269.4', 'ENSMUST00000122365.1', 'ENSMUST00000137811.7']","['ENSMUST00000023269.4', 'ENSMUST00000122365.1', 'ENSMUST00000137811.7']","['ENSMUST00000137811.7', 'ENSMUST00000122365.1', 'ENSMUST00000023269.4']",[],[],"['processed_transcript', 'protein_coding']","['ENSMUSG00000098371.1', 'ENSMUSG00000098274.7']","['Gm28037', 'Rpl24']","['ENSMUST00000137811.7', 'ENSMUST00000122365.1', 'ENSMUST00000023269.4']","['ENSMUST00000137811.7', 'ENSMUST00000122365.1', 'ENSMUST00000023269.4']","['processed_transcript', 'protein_coding']"
chr16_55970175_55971310_+,41,5456,chr16,55970175,55971310,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000023269.4', 'ENSMUST00000122365.1', 'ENSMUST00000137811.7', 'ENSMUST00000128581.1']","['ENSMUST00000023269.4', 'ENSMUST00000137811.7', 'ENSMUST00000128581.1']","['ENSMUST00000137811.7', 'ENSMUST00000128581.1', 'ENSMUST00000023269.4']",['ENSMUST00000122365.1'],[],"['processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000098371.1', 'ENSMUSG00000098274.7']","['Gm28037', 'Rpl24']","['ENSMUST00000137811.7', 'ENSMUST00000122365.1', 'ENSMUST00000128581.1', 'ENSMUST00000023269.4']","['ENSMUST00000137811.7', 'ENSMUST00000128581.1', 'ENSMUST00000023269.4']","['processed_transcript', 'protein_coding']"
